word,translation,tag
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分\nvi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖\nvt. 使休息, 使支撑, 把...寄托于",zk gk
restatement,"n. 再声明, 重述\n[经] 重报, 重新陈述, 再声明",
restaurant,"n. 餐馆, 饭店",zk gk ielts
restroom,n. 洗手间；休息室；更衣室；厕所,
result,"n. 结果, 成绩, 答案\nvi. 产生, 结果, 致使\n[计] 结果",zk gk cet4 cet6 ky ielts
resume,"vt. 重新开始, 取回, 恢复\nvi. 再开始\nn. 摘要, 个人简历\n[计] 继续执行",cet4 cet6 ky toefl ielts gre
retailer,"n. 零售商人, 传播的人\n[经] 零售商",toefl
retreat,"n. 休息寓所, 撤退, 隐居, 退避\nvi. 撤退, 隐退, 向后倾\nvt. 退(棋)",cet4 cet6 ky toefl ielts gre
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索\nvi. 找回猎物\nn. 取回, 恢复, 救险球\n[计] 检索",cet4 cet6 ky toefl ielts gre
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书\na. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的\nvi. 返回, 归还, 回来\nvt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回\n[计] 返回",zk gk ielts
reunion,"n. 团圆, 重聚\n[医] 再连合, 复连[合]",cet6
review,"n. 检讨, 复习, 回顾, 检阅, 评论\nvt. 温习, 检讨, 评论, 再检察, 复审\nvi. 复习功课, 写评论",zk gk cet4 cet6 ky toefl ielts
reviewer,"n. 评论者, 书评作者, 评论家, 剧评家, 报刊评论家",gk
revision,"n. 校订, 修正, 修订本, 修订版\n[计] 修订版",gk cet6 toefl ielts
revolutionize,"vt. 向...鼓吹革命, 使发生革命性剧变",toefl
rewrite,"vt. 重写, 改写, 改写新闻, 书面答复\nvi. 修改旧作\nn. 改写的作品\n[计] 重写",gk
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的",zk gk
rider,"n. 骑手, (文件后的)附件, 扶手\n[化] 游码",cet4 cet6 gre
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调\nvt. 包围, 套住, 按铃, 敲钟\nvi. 成环形, 响, 鸣, 按铃, 敲钟, 回响",zk gk toefl
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现\nvi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现\nvt. 使飞起",zk gk cet4 cet6 ky
risk,"n. 冒险, 危险, 保险额\nvt. 冒...的危险, 冒险干",zk gk cet4 cet6 ky toefl
road,"n. 路, 道路, 公路, 途径, 方法\n[法] 公路, 道路, 行车道",zk gk ielts
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐\nvt. 摇摆, 摇动, 使摇晃, 使动摇\nvi. 摇, 摇动",zk gk cet4 cet6 ky ielts
role,"n. 角色, 职责, 任务\n[医] 作用, 功用",zk gk cet4 cet6 ky toefl ielts
rose,"n. 玫瑰, 蔷薇, 玫瑰色\na. 玫瑰色的, 玫瑰花的\nvt. 使成玫瑰色\nrise的过去式",zk gk cet4 cet6 ky
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱\na. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的\nprep. 围着, 附近, 绕过, 在...周围\nadv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向\nvt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入\nvi. 变圆, 发胖, 环行, 拐弯, 进展",zk gk
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘\nvt. 用橡胶制造, 涂橡胶于",zk gk cet4 cet6 ky ielts
rug,"n. 小块地毯, 揭露某人",cet4 cet6 ky
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线\nvt. 规定, 统治, 管理, 控制, 支配, 裁决\nvi. 统治, 管辖, 裁定\n[计] 规则, 水线",zk gk cet4 cet6 ky toefl ielts
rumor,"n. 谣言, 传闻\nvt. 谣传",ky toefl
runner,"n. 跑步者, 赛跑者, 送信人, 走私船, 操作者, 滑槽\n[化] 碾碎机; 压碎机",gk cet4 cet6
safely,"adv. 安全地, 确实地",cet4 cet6
salad,n. 色拉,zk gk cet4 cet6 ky ielts
sale,"n. 出售, 卖, 拍卖, 销售额, 廉价出售\n[经] 卖, 出售; 销售(货)",zk gk cet4 cet6 ky toefl ielts
salesman,"n. 售货员, 推销员\n[经] 售货员, 店员, 推销员",gk cet4 cet6 ky
salespeople,"n. 售货员,店员",
salesperson,n. 售货员,
salon,"n. 大会客室, 大厅, 客厅, 交谊室, 沙龙, 美术展览馆, 画廊, 美容院, 发廊",
sandwich,"n. 三明治, 夹心面包, 夹层板\nvt. 插入, 夹入, 把...制成三明治",zk gk cet4 cet6 ky ielts
satellite,"n. 人造卫星\n[医] 伴行静脉, 陪静脉, 陪病部, 随体, 卫星",gk cet4 cet6 ky toefl ielts
satisfactory,"a. 满意的, 赎罪的\n[法] 令人满意的, 令当事人满意的, 充分的",cet4 cet6 ky toefl
sauna,n. 桑拿浴,
save,"n. 救球\nvt. 解救, 挽救, 储蓄, 保存, 节省, 保留\nvi. 挽救, 节省, 救球\nprep. 除...之外\n[计] 保存",zk gk cet4 cet6 ky toefl
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接\nvt. 用围巾围, 嵌接",zk gk cet4 cet6 ky gre
scenery,"n. 风景, 景色, 舞台布景",gk cet4 cet6 ky toefl ielts
scholarship,"n. 学问, 学术成就, 奖学金",gk cet4 cet6 ky toefl ielts
science,"n. 科学, 学科, 学问, 自然科学\n[医] 科学",zk gk ielts
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量\nvt. 刻划, 划线, 获得, 评价, 把...记下\nvi. 刻痕, 记分, 得分\n[计] 得分",zk gk cet4 cet6 ky toefl ielts gre
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子\nvt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别\nvi. 拍电影\n[计] 筛选; 屏幕",zk gk cet4 cet6 ky toefl
sculpture,"n. 雕刻, 雕塑\nvt. 雕刻, 雕塑\nvi. 当雕刻师",gk cet6 ky toefl ielts
sea,"n. 海, 海洋, 海浪, 大量\n[法] 海, 海洋",zk gk
seafood,"n. 海味, 海鲜, 鱼类",ielts
search,"n. 搜寻, 查究\nv. 搜寻, 搜查, 探求, 调查, 搜索\n[计] 搜索, 路径检索程序",zk gk cet4 cet6 ky toefl
seaside,"a. 海边的, 海滨的\nn. 海滨",gk cet6 ky
season,"n. 季节, 时节, 当令期, 时期\nvt. 给...调味, 使成熟, 使老练, 缓和\nvi. 变干燥",zk gk toefl ielts
seasonal,"a. 季节的, 依照季节的, 周期性的\n[经] 季节性的, 季节的",toefl
seat,"n. 座, 座位, 位子, 席位, 所在地\nvt. 使坐下, 使就座, 为...设座于, 使就职\nvi. 安装在底座上",zk gk ielts
second,"n. 秒, 瞬间, 第二名, 支持者, 助手\na. 第二的, 其次的, 次要的, 附加的, 辅助的\nnum. 第二\nvt. 当...助手, 支持",zk gk ielts
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区\nvt. 把...分段, 把...切片\nvi. 被切成片\n[计] 扇区",gk cet4 cet6 ky toefl ielts
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金\n[计] 安全性, 保密性, 安全检查程序",gk cet4 cet6 ky toefl
sedan,"n. 轿车, 轿子",
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求\nvi. 寻找, 搜索\n[计] 查找",gk cet4 cet6 ky
seeker,"n. 搜索者, 探求者\n[法] 搜索人, 搜查人",
seldom,"a. 不常的, 稀少的\nadv. 很少, 不常",zk gk cet4 cet6 ky toefl
sell,"vt. 卖, 背叛, 销售, 出卖\nvi. 卖, 销售\nn. 卖, 推销术, 失望",zk gk
seller,n. 销售者\n[化] 卖方,cet4 cet6
semester,n. 学期,cet4 cet6 ky toefl ielts
seminar,"n. 研究班, 专题讨论会\n[经] 讨论会, 专家讨论会",cet4 cet6 ky ielts
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于\nvi. 寄信, 派人, 播送\nn. (船的)上升运动\n[计] 发送",zk gk
sender,"n. 寄件人, 发报机\n[经] 送货人, 发送者",
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智\nvt. 感觉, 觉察, 检测\n[计] 阅读; 检测",zk gk cet4 cet6 ky ielts
separate,"n. 独立件, 抽印本\na. 分开的, 各别的, 单独的, 分隔的\nvi. 分开, 隔开, 分居\nvt. 使分离, 使分开, 区分, 使分居",zk gk cet4 cet6 ky gre
separately,"adv. [表]分开, 不相连, 分隔, 分离, 不同, 单独, 独立, 各自, 各别, 脱离肉体, 灵魂\n[计] 分离地",gk cet4 cet6 toefl
serial,"n. 分期连载作品, 连载小说\na. 连续的, 一连串的, 连载的, 分期偿还的\n[计] 连续的; 串行的",ky ielts gre
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组\n[计] 系列",cet4 cet6 ky ielts
serious,"a. 严肃的, 认真的, 重要的, 严重的\n[电] 严重的",zk gk cet4 cet6 ky toefl ielts
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待\nvi. 服务, 服役, 侍应, 适合, 有用, 开球\nn. 发球, 轮到发球",zk gk
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门\nvt. 保养, 维修\na. 武装部队的, 服务性的, 仆人的, 耐用的\n[计] 服务, 业务",zk gk ielts
sew,"vt. 缝纫, 缝合, 缝\nvi. 缝纫",gk cet4 cet6 ky toefl
sewer,"n. 下水道, 阴沟, 裁缝师\nvt. 用下水道排, 铺设下水道于",toefl ielts gre
shall,aux. 将,zk gk
shape,"n. 形状, 形态, 外形, 形式, 身材\nvt. 定形, 使成形, 塑造, 计划, 使符合\nvi. 成形, 形成, 成长\n[计] 形状",zk gk cet4 cet6 ky
share,"n. 部分, 参与, 一份, 参股, 份额\nvt. 均分, 分担, 分享, 分配, 共有\nvi. 分享\n[计] 共享; DOS外部命令:在网络或多工系统中提供文件共享\n文件锁定及检测磁盘更动和对超过32MB硬盘分区的支持",zk gk cet4 cet6 ky
sharply,"adv. 锐利地, 严厉地, 厉害地\n[经] 剧烈地",cet4 cet6 toefl
shipment,"n. 装船, 出货\n[经] 运送, 运送(寄出)货物, 装载",cet6 ky toefl
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费\nvt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射\nvi. 射出, 射击, 发出, 拍电影, 射门, 发芽",gk cet4 cet6 ky gre
shop,"n. 商店, 工厂, 车间\nvi. 购物, 到处寻找\nvt. 选购",zk gk ielts
shopper,"n. 购物者\n[经] 顾客, 购物的人",
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的\nadv. 简短地, 突然\nn. 扼要, 短片, 缺乏\nvt. 故意少给, 使短路",zk gk ielts
shortage,"n. 不足, 缺乏\n[化] 缺额",cet4 cet6 ky toefl ielts
shorten,"vt. 弄短, 缩短, 减少\nvi. 缩小, 变短",cet6
shortly,"adv. 不久, 简短, 唐突地",gk cet4 cet6 ky
showroom,"n. 陈列室\n[经] 样品间, 陈列室",
shuttle,"n. 穿梭, 梭子, 往返移动之物\nv. (使)穿梭移动, 往返运送",gk cet4 cet6 ky toefl ielts gre
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统\na. 旁的, 侧的, 次要的\nvt. 同意, 支持\nvi. 支持, 赞助",zk gk ielts
sidewalk,n. 人行道,
sightsee,vt. 游览；观光,
sign,"n. 符号, 招牌, 征兆, 正负号, 手势\nvt. 签名, 打手势表达\nvi. 签名\n[计] 正负号; 符号; 符号字符",gk cet4 cet6 ky ielts
signature,"n. 签字, 识别标志, 调号\n[计] 签名附件",gk cet4 cet6 ky toefl ielts gre
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的",cet4 cet6 ky toefl ielts gre
signify,"vt. 象征, 预示\nvi. 要紧, 重要",cet6 ky toefl ielts gre
silently,"adv. 默默地, 静静地",
similar,"a. 相似的, 类似的\nn. 相似的东西",zk gk ielts
similarity,"n. 类似, 类似处\n[法] 类似, 相似, 类似事例",cet6
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的\nn. 出身低微者, 傻子",zk gk ielts
simplify,"vt. 单一化, 简单化",gk cet4 cet6 ky ielts
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地",gk
sincerely,adv. 真诚地,gk
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼\nvt. 唱, 歌颂\nn. 嗖嗖声",zk gk
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的\nn. 一个, 单打, 单程票\nvt. 选出\nvi. 击出一垒打\n[计] 单精度型",zk gk ielts
sister,"n. 姐妹, 姐, 妹, 护士, 修女\nvt. 姐妹般对待",zk gk
site,"n. 位置, 场所, 地点\nvt. 给...择址",cet4 cet6 ky toefl ielts
situation,"n. 情形, 境遇, 位置\n[医] 情境, 处境",zk gk cet4 cet6 ky
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料\nvt. 上浆, 依大小排列\nvi. 可比拟\na. 一定大小的, 一定尺寸的",zk gk ielts
skate,"n. 溜冰, 冰鞋\nvi. 滑冰, 滑过",zk gk cet4 cet6 ky
skateboard,n. 溜冰板,gk
sketch,"n. 素描, 草图, 小品\nv. 描绘略图, 画素描或速写",cet4 cet6 ky toefl ielts
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人\n[化] 技能",zk gk cet4 cet6 ky ielts
skim,"vt. 撇取浮沫, 略读, 掠过\nvi. 擦过, 浏览\nn. 脱脂乳, 擦过, 表层物\na. 撇去浮沫的",cet4 cet6 ky toefl ielts gre
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠\nvi. 睡觉, 睡眠, 静止\nvt. 睡",zk gk ielts
sleepy,"a. 困乏的, 欲睡的",zk gk cet4 cet6 ielts
sleeve,"n. 袖子, 套管\nvt. 缝上袖子",gk cet4 cet6 ky
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)\nvt. 开槽于, 把...纳入机构\n[计] 槽; 存储槽",cet6 ky ielts gre
smile,"n. 微笑, 喜色, 笑容\nvi. 微笑, 觉得好笑\nvt. 微笑着表示",zk gk
smoothly,"adv. 平滑地, 流畅地, 流利地",cet4 cet6 toefl
snack,"n. 小吃, 点心, 快餐\nvi. 吃零食, 吃快餐",gk cet6 ky ielts
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的",zk gk cet4 cet6
soap,"n. 肥皂, 阿谀\nvt. 以肥皂洗, 阿谀\n[计] 评语",zk gk cet4 cet6 ky toefl
soar,"n. 高扬, 翱翔\nvi. 往上飞舞, 高耸, 翱翔",cet6 ky ielts gre
soccer,n. 英式足球,gk cet4 cet6 ky
society,n. 社会；社交界；交往；社团,zk gk cet4 cet6 ky
sock,"n. 短袜, 鞋垫, 一击\nvt. 重击, 猛投, 给...穿袜\nvi. 打击\nadv. 正着地, 不偏不倚地\na. 非常成功的",gk cet4 cet6 ky gre
sofa,n. 沙发,zk gk cet6 ky
solar,"a. 太阳的, 日光的, 源自太阳的\n[医] 太阳的; 腹腔丛的",gk cet4 cet6 ky toefl ielts
solution,"n. 解决, 解答, 溶液\n[化] 溶液",cet4 cet6 ky toefl ielts
somebody,"n. 了不起的人, 大人物\npron. 有人, 某人",zk gk
someday,adv. 有一天,
someone,"pron. 有人, 某人",zk gk
sometime,"a. 以前的, 某一时间的\nadv. 改天, 来日",cet4 cet6 ky
sometimes,"adv. 有时, 时常, 往往",zk gk
son,"n. 儿子, 女婿, 子孙\n[法] 儿子, 女婿, 养子",zk gk
song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌",zk gk
soon,"adv. 不久, 早, 快, 宁可",zk gk
sorry,"a. 难过的, 悲哀的, 遗憾的",zk gk
sort,"n. 种类, 方式, 品质, 态度, 举止\nvt. 分类, 排序, 挑选\nvi. 交往, 协调\n[计] 排序; DOS外部命令:从标准输入设备接收数据, 整个数据输入完后\n对它以行为单位进行排序, 然后在标准输出设备上输出",zk gk cet4 cet6 ky toefl ielts
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡\na. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的\nadv. 彻底地, 充分地\nvi. 发出声音, 回响, 测深, 试探, 听起来\nvt. 使发声, 宣告, 听诊, 测...深, 试探\n[计] 声音",zk gk ielts
soup,"n. 汤, 马力\nvt. 加速, 增加马力",zk gk cet4 cet6 ky toefl
source,"n. 来源, 水源, 根源, 原始资料, 源\n[计] 来源, 源程序",cet4 cet6 ky ielts
spa,"n. 矿泉, 温泉浴场, 矿泉治疗地\n[计] 软件出版者协会",
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅\nvt. 隔开, 分隔\nvi. 留间隔\n[计] 空白, 空格校验",zk gk cet4 cet6 ky ielts
spacious,"a. 广大的, 宽广的",cet6 ky toefl ielts gre
spam,"n. 罐头猪肉, 垃圾邮件\nv. 发送垃圾邮件",
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员\na. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的",zk gk cet4 cet6 ky ielts
specially,"adv. 特别地, 专门地",cet4 cet6
specialty,"n. 专业, 专长, 特产, 特制品, 特性, 特点\na. 专门的, 独立的",toefl
specific,"n. 特效药, 特性\na. 特殊的, 明确的, 具有特效的, 特定地, 具体地",gk cet4 cet6 ky toefl ielts
specification,"n. 规格, 详述, 详细说明书\n[计] 规范; 形式说明; 说明; 说明书; 规格",cet6 ky toefl ielts
spectator,"n. 观众, 目击者, 旁观者",cet6 ky toefl ielts gre
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言\n[医] 言语, 语言",zk gk cet4 cet6 ky ielts
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子\nvt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下\nvi. 溢出, 涌流, 摔下",cet4 cet6 ky toefl ielts
spite,"n. 恶意, 怨恨, 使人烦恼的事物\nvt. 故意刁难, 欺侮",cet4 cet6 ky gre
spokesperson,"n. 发言人, 代言人",
sport,"n. 运动, 游戏, 娱乐, 消遣, 玩笑\na. 运动的, 户外穿戴的\nvi. 游戏, 参加体育运动, 戏弄, 产生变种\nvt. 炫耀, 使产生变种",zk gk ielts gre
spouse,n. 配偶,cet6 ky toefl ielts
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝\nvt. 喷雾, 扫射, 喷射\nvi. 喷, 溅开",gk cet4 cet6 ky toefl ielts
spreadsheet,"n. 空白表格程序, 电子制表软件, 电子数据表\n[计] 电子表格",
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈\nvt. 堆积, 堆满, 暗中对...做手脚\nvi. 堆起\n[计] 堆积, 堆栈",cet4 cet6 ky toefl ielts
stadium,"n. 露天大型运动场\n[医] 期, 病期",gk cet4 cet6 ky ielts
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖\na. 职员的, 雇员的, 参谋的\nvt. 为...配备人员",gk cet4 cet6 ky toefl ielts
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架\nvt. 上演, 表演, 筹划\nvi. 适于上演, 乘驿车旅行",gk cet4 cet6 ky ielts
standard,"n. 标准, 规格, 旗, 军旗, 本位\na. 标准的, 合规格的\n[计] 标准",zk gk cet4 cet6 ky toefl ielts
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环\na. 主要的, 重要的\nvt. 分级, 钉住",ky toefl ielts gre
stapler,"n. 主要物产商, 把羊毛分级的人, 订书机\n[经] 主要商品批发商",
star,"n. 星, 恒星, 星形物, 运气, 明星\nvt. 以星状物装饰, 用星号标, 使成为明星\nvi. 变成明星",zk gk ielts
statement,"n. 陈述, 指令, 声明\n[计] 程序语句; 语句",gk cet4 cet6 ky ielts
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位\nvt. 安置, 配置, 驻扎\n[计] 站",zk gk ielts
stationery,"n. 文具, 信纸\n[法] 文具",cet6 ky toefl ielts
statistics,"n. 统计学, 统计资料\n[计] 统计信息",gk cet4 cet6 ky toefl ielts
statue,vt. 以雕像装饰\nn. 雕像,gk cet4 cet6 ky toefl ielts
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索\nvt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定\nvi. 停留, 逗留, 暂停, 坚持, 中止",zk gk
steadily,"adv. 稳定地, 无变化地, 有规则地",cet4 cet6
steak,"n. 牛排, 鱼排, 肉排",gk cet6 ky toefl ielts
steer,"vt. 引导, 驾驶, 航行, 控制\nvi. 驾驶, 掌舵, 行驶\nn. 驾驶指示, 劝告",cet4 cet6 ky toefl ielts gre
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级\nvt. 踏, 以步测量, 跨步, 使成阶梯状\nvi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走\n[计] 步骤",zk gk cet4 cet6 ky
stereo,"n. 铅版, 立体照片\na. 立体的, 立体感觉的",cet6 ky ielts
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物\nvt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止\nvi. 粘住, 停留, 坚持, 陷住, 伸出",zk gk cet4 cet6 ky toefl ielts
sticker,"n. 屠夫, 尖刀, 刺, 芒, 尖物, 携带尖刀者, 张贴物, 滞销品, (非正式)难题\n[经] 呆滞商品",
stimulus,"n. 刺激, 激励, 刺激品\n[医] 刺激特, 刺激",cet6 toefl ielts gre
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目\na. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的\nvt. 装把手于, 进货, 备有, 放牧\nvi. 出新芽, 备货, 囤积",cet4 cet6 ky toefl ielts gre
stockbroker,n. 股票经纪人,
stockholder,"n. 股东\n[法] 股东, 股票持有者, 股票所有人",cet6
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器\nvt. 储存, 贮藏, 供给\nvi. 贮藏\na. 贮藏的, 现成的\n[计] 存储器操作; 存储",zk gk ielts
storeroom,"n. 储藏室, 库房\n[经] 仓库货栈, 储藏室",
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层",zk gk ielts
strategic,"a. 战略的, 战略上的\n[经] 战略的",cet4 cet6 ielts
strategy,"n. 战略, 策略\n[经] 战略, 策略",cet4 cet6 ky toefl ielts
streamline,"n. 流线, 流线型\nvt. 使成流线型, 使合理化",cet6 ky toefl
street,"n. 街道, 马路, 街区\na. 街道的",zk gk ielts
strictly,"adv. 严格地, 确实地",cet4 cet6
strike,"n. 罢工, 打击, 殴打\nvt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见\nvi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动",gk cet4 cet6 ky toefl ielts
stripe,"n. 斑纹, 条纹\n[医] 纹, 条纹",cet4 cet6 ky toefl ielts
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的\nadv. 强劲地, 有力地, 猛烈地",zk gk
structure,"n. 结构, 构造, 建筑物\nvt. 构成, 组织",cet4 cet6 ky
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作\nvt. 学习, 读书, 研究, 考虑, 计划\nvi. 学习, 思索",zk gk ielts
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话\nvt. 装填\nvi. 狼吞虎咽",cet4 cet6 ky ielts
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型\nvt. 称呼, (根据新款式)设计, 使合潮流\nn. 风格, 样式\n[计] 风格, 样式",gk cet4 cet6 ky ielts
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由\na. 服从的, 易患...的, 隶属的, 受支配的\nadv. 在...条件下\nvt. 使隶属, 使受到\n[计] 主题, 主体",gk ielts gre
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见\n[经] 提交, 提出, 提交公断",toefl gre
subscribe,"vt. 捐献, 签署\nvi. 赞成, 同意, 捐款, 预订, 认购\n[计] 订阅",gk cet6 ky ielts gre
subscriber,"n. 签署者, 捐献者, 订户\n[经] 定户",
subscription,"n. 捐献, 订金, 订阅, 签署, 同意\n[化] 订购",cet6
subsidize,"vt. 补助, 资助, 贿赂\n[经] 资助, 津贴, 给...补助金",ky toefl
substantially,"adv. 实质上, 本质上, 大体上",cet6 toefl
subtract,"vt. 减去, 扣掉, 减少\nvi. 做减法\n[计] 减",cet4 cet6 ky toefl ielts gre
suburb,"n. 市郊住宅区, 郊区, 边缘",cet4 cet6 ky toefl ielts
subway,"n. 地铁, 地道\nvi. 乘地铁",cet4 cet6 ky toefl
success,"n. 成功, 成就, 胜利",zk gk cet4 cet6 ky
successful,"a. 成功的, 一帆风顺的, 顺利的\n[经] 成功的",zk gk cet4 cet6 ky toefl ielts
suddenly,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速",cet4 cet6
sue,"vt. 控告, 起诉, 请求\nvi. 提出诉讼, 提出请求",cet6 ky toefl ielts
suffer,"vt. 遭受, 经历, 忍受\nvi. 受痛苦, 受损害",gk cet4 cet6 ky toefl
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起\n[法] 建议, 提出, 提议",zk gk toefl
suitcase,n. 手提箱,gk cet6 toefl ielts gre
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事\n[电] 程序组",gk ky toefl ielts
summer,"n. 夏季, 全盛时期\nvi. 避暑, 过夏天\n[计] 加法器",zk gk ielts
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的",zk gk
sunscreen,n. (防晒油中的)遮光剂,
sunshine,"n. 阳光, 光明, 晴天",gk cet4 cet6 ky toefl
superb,"a. 极度的, 华丽的, 极好的",gk cet6 ky toefl ielts gre
superior,"n. 长者, 占优势的人, 上级\na. 上级的, 出众的, 高傲的",gk cet4 cet6 ky toefl ielts
supermarket,"n. 超级市场\n[经] 超级市场, 自助售货商店",zk gk ielts
supervise,"v. 监督, 管理, 指导",cet6 ky toefl ielts gre
supervisor,"n. 管理者, 监督者, 指导者, 视导员\n[计] 管理程序",toefl ielts
supply,"n. 补给, 供给, 供应品\nvt. 补给, 供给, 提供, 补充\nvi. 替代",zk gk cet4 cet6 ky ielts
support,"n. 支持, 支撑, 援助, 供养, 支撑物\nvt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实\n[计] 后援; 支持",gk cet4 cet6 ky ielts
suppose,"vt. 推想, 假设, 以为, 想像, 假定\nvi. 料想",zk gk cet4 cet6 ky toefl
surf,"n. 海浪, 拍岸浪\nvi. 作冲浪运动",
